"","Pos","Player","Pts","Bye","week","team","Opponent","OppId","NFLTeam","NFLPos"
"1","QB","Philip Rivers",20,0,1,1,"Love in an Elevator",9,"SD","QB"
"2","RB","Jamaal Charles",15,0,1,1,"Love in an Elevator",9,"KC","RB"
"3","RB","Alfred Morris",12,0,1,1,"Love in an Elevator",9,"Wsh","RB"
"4","WR","Alshon Jeffery",7,0,1,1,"Love in an Elevator",9,"Chi","WR"
"5","WR","Markus Wheaton",7,0,1,1,"Love in an Elevator",9,"Pit","WR"
"6","TE","Martellus Bennett",11,0,1,1,"Love in an Elevator",9,"Chi","TE"
"7","FLEX","Andre Ellington",10,0,1,1,"Love in an Elevator",9,"Ari","RB"
"8","K","Brandon McManus",18,0,1,1,"Love in an Elevator",9,"Den","K"
"9","D/ST","Texans",1,0,1,1,"Love in an Elevator",9,"Hou","D/ST"
"10","BN","Duke Johnson Jr.",2,0,1,1,"Love in an Elevator",9,"Cle","RB"
"11","BN","Tevin Coleman",8,0,1,1,"Love in an Elevator",9,"Atl","RB"
"12","BN","Kendall Wright",16,0,1,1,"Love in an Elevator",9,"Ten","WR"
"13","BN","Pierre Garcon",7,0,1,1,"Love in an Elevator",9,"Wsh","WR"
"14","BN","Marcus Mariota",24,0,1,1,"Love in an Elevator",9,"Ten","QB"
"15","BN","Terrance West",2,0,1,1,"Love in an Elevator",9,"Ten","RB"
"16","IR","Breshad Perriman",0,1,1,1,"Love in an Elevator",9,"Bal","WR"
"17","QB","Philip Rivers",13,0,2,1,"Boston Bobcatz",6,"SD","QB"
"18","RB","Jamaal Charles",14,0,2,1,"Boston Bobcatz",6,"KC","RB"
"19","RB","Alfred Morris",6,0,2,1,"Boston Bobcatz",6,"Wsh","RB"
"20","WR","Markus Wheaton",6,0,2,1,"Boston Bobcatz",6,"Pit","WR"
"21","WR","Kendall Wright",1,0,2,1,"Boston Bobcatz",6,"Ten","WR"
"22","TE","Martellus Bennett",4,0,2,1,"Boston Bobcatz",6,"Chi","TE"
"23","FLEX","Tevin Coleman",9,0,2,1,"Boston Bobcatz",6,"Atl","RB"
"24","K","Brandon McManus",9,0,2,1,"Boston Bobcatz",6,"Den","K"
"25","D/ST","Texans",5,0,2,1,"Boston Bobcatz",6,"Hou","D/ST"
"26","BN","Alshon Jeffery",0,0,2,1,"Boston Bobcatz",6,"Chi","WR"
"27","BN","Andre Ellington",0,0,2,1,"Boston Bobcatz",6,"Ari","RB"
"28","BN","Duke Johnson Jr.",4,0,2,1,"Boston Bobcatz",6,"Cle","RB"
"29","BN","Pierre Garcon",8,0,2,1,"Boston Bobcatz",6,"Wsh","WR"
"30","BN","Marcus Mariota",15,0,2,1,"Boston Bobcatz",6,"Ten","QB"
"31","BN","Brandon Coleman",3,0,2,1,"Boston Bobcatz",6,"NO","WR"
"32","IR","Breshad Perriman",0,1,2,1,"Boston Bobcatz",6,"Bal","WR"
"33","QB","Eli Manning",7,0,1,2,"+/- 1 PSI",11,"NYG","QB"
"34","RB","LeSean McCoy",8,0,1,2,"+/- 1 PSI",11,"Buf","RB"
"35","RB","Jonathan Stewart",7,0,1,2,"+/- 1 PSI",11,"Car","RB"
"36","WR","Jordan Matthews",10,0,1,2,"+/- 1 PSI",11,"Phi","WR"
"37","WR","Randall Cobb",9,0,1,2,"+/- 1 PSI",11,"GB","WR"
"38","TE","Owen Daniels",0,0,1,2,"+/- 1 PSI",11,"Den","TE"
"39","FLEX","Latavius Murray",7,0,1,2,"+/- 1 PSI",11,"Oak","RB"
"40","K","Kyle Brindza",2,0,1,2,"+/- 1 PSI",11,"TB","K"
"41","D/ST","Buccaneers",-3,0,1,2,"+/- 1 PSI",11,"TB","D/ST"
"42","BN","Steve Smith Sr.",1,0,1,2,"+/- 1 PSI",11,"Bal","WR"
"43","BN","DeSean Jackson",0,0,1,2,"+/- 1 PSI",11,"Wsh","WR"
"44","BN","Alfred Blue",4,0,1,2,"+/- 1 PSI",11,"Hou","RB"
"45","BN","Kirk Cousins",7,0,1,2,"+/- 1 PSI",11,"Wsh","QB"
"46","BN","Darren Sproles",12,0,1,2,"+/- 1 PSI",11,"Phi","RB"
"47","BN","Brian Quick",0,0,1,2,"+/- 1 PSI",11,"StL","WR"
"48","IR","",0,1,1,2,"+/- 1 PSI",11,"",""
"49","QB","Eli Manning",19,0,2,2,"Tom Terrific",12,"NYG","QB"
"50","RB","LeSean McCoy",10,0,2,2,"Tom Terrific",12,"Buf","RB"
"51","RB","Latavius Murray",14,0,2,2,"Tom Terrific",12,"Oak","RB"
"52","WR","Jordan Matthews",14,0,2,2,"Tom Terrific",12,"Phi","WR"
"53","WR","Randall Cobb",11,0,2,2,"Tom Terrific",12,"GB","WR"
"54","TE","Owen Daniels",1,0,2,2,"Tom Terrific",12,"Den","TE"
"55","FLEX","Darren Sproles",2,0,2,2,"Tom Terrific",12,"Phi","RB"
