I,Pos,Player,Pts,Bye,week,team,Opponent,OppId,NFLTeam,NFLPos
1,QB,Philip Rivers,0,1,1,1,Love in an Elevator,9,SD,QB
2,RB,Jamaal Charles,0,1,1,1,Love in an Elevator,9,KC,RB
3,RB,Alfred Morris,0,1,1,1,Love in an Elevator,9,Wsh,RB
4,WR,Alshon Jeffery,0,1,1,1,Love in an Elevator,9,Chi,WR
5,WR,Markus Wheaton,0,1,1,1,Love in an Elevator,9,Pit,WR
6,TE,Martellus Bennett,0,1,1,1,Love in an Elevator,9,Chi,TE
7,FLEX,Andre Ellington,0,1,1,1,Love in an Elevator,9,Ari,RB
8,K,Brandon McManus,18,0,1,1,Love in an Elevator,9,Den,K
9,D/ST,Texans,1,0,1,1,Love in an Elevator,9,Hou,D/ST
10,BN,Duke Johnson Jr.,0,1,1,1,Love in an Elevator,9,Cle,RB
11,BN,Tevin Coleman,0,1,1,1,Love in an Elevator,9,Atl,RB
12,BN,Kendall Wright,0,1,1,1,Love in an Elevator,9,Ten,WR
13,BN,Pierre Garcon,0,1,1,1,Love in an Elevator,9,Wsh,WR
14,BN,Marcus Mariota,0,1,1,1,Love in an Elevator,9,Ten,QB
15,BN,Terrance West,0,1,1,1,Love in an Elevator,9,Ten,RB
16,IR,Breshad Perriman,0,1,1,1,Love in an Elevator,9,Bal,WR
17,QB,Philip Rivers,0,1,2,1,Boston Bobcatz,6,SD,QB
18,RB,Jamaal Charles,0,1,2,1,Boston Bobcatz,6,KC,RB
19,RB,Alfred Morris,0,1,2,1,Boston Bobcatz,6,Wsh,RB
20,WR,Markus Wheaton,0,1,2,1,Boston Bobcatz,6,Pit,WR
21,WR,Kendall Wright,0,1,2,1,Boston Bobcatz,6,Ten,WR
22,TE,Martellus Bennett,0,1,2,1,Boston Bobcatz,6,Chi,TE
23,FLEX,Tevin Coleman,0,1,2,1,Boston Bobcatz,6,Atl,RB
24,K,Brandon McManus,9,0,2,1,Boston Bobcatz,6,Den,K
25,D/ST,Texans,5,0,2,1,Boston Bobcatz,6,Hou,D/ST
26,BN,Alshon Jeffery,0,1,2,1,Boston Bobcatz,6,Chi,WR
27,BN,Andre Ellington,0,1,2,1,Boston Bobcatz,6,Ari,RB
28,BN,Duke Johnson Jr.,0,1,2,1,Boston Bobcatz,6,Cle,RB
29,BN,Pierre Garcon,0,1,2,1,Boston Bobcatz,6,Wsh,WR
30,BN,Marcus Mariota,0,1,2,1,Boston Bobcatz,6,Ten,QB
31,BN,Brandon Coleman,0,1,2,1,Boston Bobcatz,6,NO,WR
32,IR,Breshad Perriman,0,1,2,1,Boston Bobcatz,6,Bal,WR
33,QB,Eli Manning,0,1,1,2,+/- 1 PSI,11,NYG,QB
34,RB,LeSean McCoy,0,1,1,2,+/- 1 PSI,11,Buf,RB
35,RB,Jonathan Stewart,0,1,1,2,+/- 1 PSI,11,Car,RB
36,WR,Jordan Matthews,0,1,1,2,+/- 1 PSI,11,Phi,WR
37,WR,Randall Cobb,0,1,1,2,+/- 1 PSI,11,GB,WR
38,TE,Owen Daniels,0,1,1,2,+/- 1 PSI,11,Den,TE
39,FLEX,Latavius Murray,0,1,1,2,+/- 1 PSI,11,Oak,RB
40,K,Kyle Brindza,2,0,1,2,+/- 1 PSI,11,TB,K
41,D/ST,Buccaneers,-3,0,1,2,+/- 1 PSI,11,TB,D/ST
42,BN,Steve Smith Sr.,0,1,1,2,+/- 1 PSI,11,Bal,WR
43,BN,DeSean Jackson,0,1,1,2,+/- 1 PSI,11,Wsh,WR
44,BN,Alfred Blue,0,1,1,2,+/- 1 PSI,11,Hou,RB
45,BN,Kirk Cousins,0,1,1,2,+/- 1 PSI,11,Wsh,QB
46,BN,Darren Sproles,0,1,1,2,+/- 1 PSI,11,Phi,RB
47,BN,Brian Quick,0,1,1,2,+/- 1 PSI,11,StL,WR
48,IR,,0,1,1,2,+/- 1 PSI,11,,
49,QB,Eli Manning,0,1,2,2,Tom Terrific,12,NYG,QB
50,RB,LeSean McCoy,0,1,2,2,Tom Terrific,12,Buf,RB
51,RB,Latavius Murray,0,1,2,2,Tom Terrific,12,Oak,RB
52,WR,Jordan Matthews,0,1,2,2,Tom Terrific,12,Phi,WR
53,WR,Randall Cobb,0,1,2,2,Tom Terrific,12,GB,WR
54,TE,Owen Daniels,0,1,2,2,Tom Terrific,12,Den,TE
55,FLEX,Darren Sproles,0,1,2,2,Tom Terrific,12,Phi,RB
56,K,Robbie Gould,14,0,2,2,Tom Terrific,12,Chi,K
57,D/ST,Saints,6,0,2,2,Tom Terrific,12,NO,D/ST
58,BN,Steve Smith Sr.,0,1,2,2,Tom Terrific,12,Bal,WR
59,BN,Jonathan Stewart,0,1,2,2,Tom Terrific,12,Car,RB
60,BN,Alfred Blue,0,1,2,2,Tom Terrific,12,Hou,RB
61,BN,Brian Quick,0,1,2,2,Tom Terrific,12,StL,WR
62,BN,Nick Foles,0,1,2,2,Tom Terrific,12,StL,QB
63,BN,Jordan Reed,0,1,2,2,Tom Terrific,12,Wsh,TE
64,IR,DeSean Jackson,0,1,2,2,Tom Terrific,12,Wsh,WR
65,QB,Ben Roethlisberger,0,1,1,3,Wilfork Island,5,Pit,QB
66,RB,Justin Forsett,0,1,1,3,Wilfork Island,5,Bal,RB
67,RB,T.J. Yeldon,0,1,1,3,Wilfork Island,5,Jac,RB
68,WR,Brandin Cooks,0,1,1,3,Wilfork Island,5,NO,WR
69,WR,Brandon Marshall,0,1,1,3,Wilfork Island,5,NYJ,WR
70,TE,Travis Kelce,0,1,1,3,Wilfork Island,5,KC,TE
71,FLEX,Jarvis Landry,0,1,1,3,Wilfork Island,5,Mia,WR
72,K,Stephen Gostkowski,4,0,1,3,Wilfork Island,5,NE,K
73,D/ST,Ravens,12,0,1,3,Wilfork Island,5,Bal,D/ST
74,BN,Cam Newton,0,1,1,3,Wilfork Island,5,Car,QB
75,BN,Arian Foster,0,1,1,3,Wilfork Island,5,Hou,RB
76,BN,Joique Bell,0,1,1,3,Wilfork Island,5,Det,RB
77,BN,LeGarrette Blount,0,1,1,3,Wilfork Island,5,NE,RB
78,BN,Todd Gurley,0,1,1,3,Wilfork Island,5,StL,RB
79,BN,Victor Cruz,0,1,1,3,Wilfork Island,5,NYG,WR
80,IR,,0,1,1,3,Wilfork Island,5,,
81,QB,Ben Roethlisberger,0,1,2,3,Love in an Elevator,9,Pit,QB
82,RB,Justin Forsett,0,1,2,3,Love in an Elevator,9,Bal,RB
83,RB,T.J. Yeldon,0,1,2,3,Love in an Elevator,9,Jac,RB
84,WR,Brandin Cooks,0,1,2,3,Love in an Elevator,9,NO,WR
85,WR,Jarvis Landry,0,1,2,3,Love in an Elevator,9,Mia,WR
86,TE,Travis Kelce,0,1,2,3,Love in an Elevator,9,KC,TE
87,FLEX,Brandon Marshall,0,1,2,3,Love in an Elevator,9,NYJ,WR
88,K,Stephen Gostkowski,19,0,2,3,Love in an Elevator,9,NE,K
89,D/ST,Ravens,-4,0,2,3,Love in an Elevator,9,Bal,D/ST
