"","teamName","week","Player","Pos","Pts","Opponent","team","OppId","NFLTeam","NFLPos","AltPlayer","AltPos","AltPts","Diff","teamName.1"
"12","The Peasemakers",1,"Kendall Wright","BN",16,"Love in an Elevator",1,9,"Ten","WR","Alshon Jeffery","WR",7,9,"The Peasemakers"
"14","The Peasemakers",1,"Marcus Mariota","BN",24,"Love in an Elevator",1,9,"Ten","QB","Philip Rivers","QB",20,4,"The Peasemakers"
"29","The Peasemakers",2,"Pierre Garcon","BN",8,"Boston Bobcatz",1,6,"Wsh","WR","Kendall Wright","WR",1,7,"The Peasemakers"
"30","The Peasemakers",2,"Marcus Mariota","BN",15,"Boston Bobcatz",1,6,"Ten","QB","Philip Rivers","QB",13,2,"The Peasemakers"
"31","The Peasemakers",2,"Brandon Coleman","BN",3,"Boston Bobcatz",1,6,"NO","WR","Kendall Wright","WR",1,2,"The Peasemakers"
"45","The Peasemakers",3,"Marcus Mariota","BN",18,"Wilfork Island",1,5,"Ten","QB","Philip Rivers","QB",9,9,"The Peasemakers"
"62","What Would Jameis Do?",1,"Darren Sproles","BN",12,"+/- 1 PSI",2,11,"Phi","RB","Jonathan Stewart","RB",7,5,"What Would Jameis Do?"
"74","What Would Jameis Do?",2,"Steve Smith Sr.","BN",15,"Tom Terrific",2,12,"Bal","WR","Darren Sproles","FLEX",2,13,"What Would Jameis Do?"
"75","What Would Jameis Do?",2,"Jonathan Stewart","BN",6,"Tom Terrific",2,12,"Car","RB","Darren Sproles","FLEX",2,4,"What Would Jameis Do?"
"79","What Would Jameis Do?",2,"Jordan Reed","BN",8,"Tom Terrific",2,12,"Wsh","TE","Owen Daniels","TE",1,7,"What Would Jameis Do?"
"90","What Would Jameis Do?",3,"Steve Smith Sr.","BN",30,"FU Roadshow Winnebago",2,4,"Bal","WR","Jordan Matthews","WR",4,26,"What Would Jameis Do?"
"92","What Would Jameis Do?",3,"Alfred Blue","BN",19,"FU Roadshow Winnebago",2,4,"Hou","RB","LeSean McCoy","RB",8,11,"What Would Jameis Do?"
"94","What Would Jameis Do?",3,"Karlos Williams","BN",17,"FU Roadshow Winnebago",2,4,"Buf","RB","LeSean McCoy","RB",8,9,"What Would Jameis Do?"
"95","What Would Jameis Do?",3,"Andy Dalton","BN",30,"FU Roadshow Winnebago",2,4,"Cin","QB","Eli Manning","QB",19,11,"What Would Jameis Do?"
"127","Coffin Corner Gunners",2,"David Johnson","BN",16,"Love in an Elevator",3,9,"Ari","RB","Justin Forsett","RB",7,9,"Coffin Corner Gunners"
"139","Coffin Corner Gunners",3,"Brandin Cooks","BN",7,"Screw you,  Goodell",3,7,"NO","WR","C.J. Anderson","FLEX",1,6,"Coffin Corner Gunners"
"141","Coffin Corner Gunners",3,"LeGarrette Blount","BN",26,"Screw you,  Goodell",3,7,"NE","RB","C.J. Anderson","FLEX",1,25,"Coffin Corner Gunners"
"172","FU Roadshow Winnebago",2,"Malcom Floyd","BN",11,"Richmond Confederates",4,10,"SD","WR","A.J. Green","FLEX",10,1,"FU Roadshow Winnebago"
"188","FU Roadshow Winnebago",3,"Marvin Jones","BN",15,"What Would Jameis Do?",4,2,"Cin","WR","Donte Moncrief","FLEX",9,6,"FU Roadshow Winnebago"
"192","FU Roadshow Winnebago",3,"Heath Miller","BN",1,"What Would Jameis Do?",4,2,"Pit","TE","","TE",0,1,"FU Roadshow Winnebago"
"206","Wilfork Island",1,"John Brown","BN",10,"Coffin Corner Gunners",5,3,"Ari","WR","Andre Johnson","WR",2,8,"Wilfork Island"
"221","Wilfork Island",2,"Andre Williams","BN",4,"Screw you,  Goodell",5,7,"NYG","RB","Eddie Lacy","RB",0,4,"Wilfork Island"
"222","Wilfork Island",2,"Matt Jones","BN",24,"Screw you,  Goodell",5,7,"Wsh","RB","Eddie Lacy","RB",0,24,"Wilfork Island"
"224","Wilfork Island",2,"Benjamin Cunningham","BN",2,"Screw you,  Goodell",5,7,"StL","RB","Eddie Lacy","RB",0,2,"Wilfork Island"
"239","Wilfork Island",3,"James Starks","BN",4,"The Peasemakers",5,1,"GB","RB","Matt Jones","RB",1,3,"Wilfork Island"
"240","Wilfork Island",3,"Tyrod Taylor","BN",24,"The Peasemakers",5,1,"Buf","QB","Russell Wilson","QB",15,9,"Wilfork Island"
"252","Boston Bobcatz",1,"Ronnie Hillman","BN",4,"Screw you,  Goodell",6,7,"Den","RB","Frank Gore","RB",3,1,"Boston Bobcatz"
"253","Boston Bobcatz",1,"Tyler Lockett","BN",9,"Screw you,  Goodell",6,7,"Sea","WR","Amari Cooper","WR",4,5,"Boston Bobcatz"
"255","Boston Bobcatz",1,"James Jones","BN",17,"Screw you,  Goodell",6,7,"GB","WR","Amari Cooper","WR",4,13,"Boston Bobcatz"
"269","Boston Bobcatz",2,"Amari Cooper","BN",16,"The Peasemakers",6,1,"Oak","WR","Doug Martin","FLEX",7,9,"Boston Bobcatz"
"270","Boston Bobcatz",2,"Ronnie Hillman","BN",3,"The Peasemakers",6,1,"Den","RB","Jeremy Hill","RB",-1,4,"Boston Bobcatz"
"284","Boston Bobcatz",3,"Doug Martin","BN",4,"Love in an Elevator",6,9,"TB","RB","Jeremy Hill","RB",2,2,"Boston Bobcatz"
"285","Boston Bobcatz",3,"Ronnie Hillman","BN",7,"Love in an Elevator",6,9,"Den","RB","Jeremy Hill","RB",2,5,"Boston Bobcatz"
"287","Boston Bobcatz",3,"James Jones","BN",19,"Love in an Elevator",6,9,"GB","WR","Travis Benjamin","FLEX",8,11,"Boston Bobcatz"
"299","Screw you,  Goodell",1,"Giovani Bernard","BN",8,"Boston Bobcatz",7,6,"Cin","RB","C.J. Anderson","RB",3,5,"Screw you,  Goodell"
"315","Screw you,  Goodell",2,"Giovani Bernard","BN",13,"Wilfork Island",7,5,"Cin","RB","Roddy White","FLEX",0,13,"Screw you,  Goodell"
"317","Screw you,  Goodell",2,"Darren McFadden","BN",5,"Wilfork Island",7,5,"Dal","RB","Roddy White","FLEX",0,5,"Screw you,  Goodell"
"318","Screw you,  Goodell",2,"Danny Amendola","BN",2,"Wilfork Island",7,5,"NE","WR","Roddy White","FLEX",0,2,"Screw you,  Goodell"
"319","Screw you,  Goodell",2,"Scott Chandler","BN",2,"Wilfork Island",7,5,"NE","TE","Roddy White","FLEX",0,2,"Screw you,  Goodell"
"333","Screw you,  Goodell",3,"Darren McFadden","BN",9,"Coffin Corner Gunners",7,3,"Dal","RB","David Johnson","FLEX",3,6,"Screw you,  Goodell"
"334","Screw you,  Goodell",3,"Danny Amendola","BN",9,"Coffin Corner Gunners",7,3,"NE","WR","David Johnson","FLEX",3,6,"Screw you,  Goodell"
"349","Down w/the Confederacaaaa!",1,"Bishop Sankey","BN",20,"Richmond Confederates",8,10,"Ten","RB","Lamar Miller","RB",7,13,"Down w/the Confederacaaaa!"
"363","Down w/the Confederacaaaa!",2,"Isaiah Crowell","BN",13,"+/- 1 PSI",8,11,"Cle","RB","Rashad Jennings","FLEX",2,11,"Down w/the Confederacaaaa!"
"364","Down w/the Confederacaaaa!",2,"Ryan Tannehill","BN",23,"+/- 1 PSI",8,11,"Mia","QB","Sam Bradford","QB",6,17,"Down w/the Confederacaaaa!"
"365","Down w/the Confederacaaaa!",2,"Bishop Sankey","BN",4,"+/- 1 PSI",8,11,"Ten","RB","Rashad Jennings","FLEX",2,2,"Down w/the Confederacaaaa!"
"366","Down w/the Confederacaaaa!",2,"Nelson Agholor","BN",3,"+/- 1 PSI",8,11,"Phi","WR","Rashad Jennings","FLEX",2,1,"Down w/the Confederacaaaa!"
"379","Down w/the Confederacaaaa!",3,"Lamar Miller","BN",5,"Tom Terrific",8,12,"Mia","RB","Isaiah Crowell","FLEX",3,2,"Down w/the Confederacaaaa!"
"381","Down w/the Confederacaaaa!",3,"Rashad Jennings","BN",5,"Tom Terrific",8,12,"NYG","RB","Isaiah Crowell","FLEX",3,2,"Down w/the Confederacaaaa!"
"384","Down w/the Confederacaaaa!",3,"Ty Montgomery","BN",7,"Tom Terrific",8,12,"GB","WR","Isaiah Crowell","FLEX",3,4,"Down w/the Confederacaaaa!"
"398","Love in an Elevator",1,"Austin Seferian Jenkins","BN",23,"The Peasemakers",9,1,"TB","TE","Jordan Cameron","TE",7,16,"Love in an Elevator"
"400","Love in an Elevator",1,"Chandler Catanzaro","BN",8,"The Peasemakers",9,1,"Ari","K","Adam Vinatieri","K",-1,9,"Love in an Elevator"
"411","Love in an Elevator",2,"T.Y. Hilton","BN",4,"Coffin Corner Gunners",9,3,"Ind","WR","Keenan Allen","WR",-1,5,"Love in an Elevator"
"412","Love in an Elevator",2,"Devin Funchess","BN",1,"Coffin Corner Gunners",9,3,"Car","WR","Keenan Allen","WR",-1,2,"Love in an Elevator"
"413","Love in an Elevator",2,"Michael Crabtree","BN",17,"Coffin Corner Gunners",9,3,"Oak","WR","Keenan Allen","WR",-1,18,"Love in an Elevator"
"416","Love in an Elevator",2,"Chandler Catanzaro","BN",6,"Coffin Corner Gunners",9,3,"Ari","K","Adam Vinatieri","K",0,6,"Love in an Elevator"
"427","Love in an Elevator",3,"Michael Floyd","BN",1,"Boston Bobcatz",9,6,"Ari","WR","Chris Ivory","FLEX",0,1,"Love in an Elevator"
"428","Love in an Elevator",3,"Michael Crabtree","BN",3,"Boston Bobcatz",9,6,"Oak","WR","Chris Ivory","FLEX",0,3,"Love in an Elevator"
"430","Love in an Elevator",3,"Bilal Powell","BN",7,"Boston Bobcatz",9,6,"NYJ","RB","Chris Ivory","FLEX",0,7,"Love in an Elevator"
"431","Love in an Elevator",3,"Eric Ebron","BN",6,"Boston Bobcatz",9,6,"Det","TE","Chris Ivory","FLEX",0,6,"Love in an Elevator"
"432","Love in an Elevator",3,"Chandler Catanzaro","BN",9,"Boston Bobcatz",9,6,"Ari","K","Adam Vinatieri","K",5,4,"Love in an Elevator"
"446","Richmond Confederates",1,"Danny Woodhead","BN",18,"Down w/the Confederacaaaa!",10,8,"SD","RB","Terrance Williams","FLEX",6,12,"Richmond Confederates"
"463","Richmond Confederates",2,"Torrey Smith","BN",20,"FU Roadshow Winnebago",10,4,"SF","WR","Terrance Williams","FLEX",14,6,"Richmond Confederates"
"464","Richmond Confederates",2,"Shane Vereen","BN",8,"FU Roadshow Winnebago",10,4,"NYG","RB","DeMarco Murray","RB",5,3,"Richmond Confederates"
"476","Richmond Confederates",3,"Mike Wallace","BN",4,"+/- 1 PSI",10,11,"Min","WR","DeMarco Murray","FLEX",0,4,"Richmond Confederates"
"477","Richmond Confederates",3,"Sammy Watkins","BN",3,"+/- 1 PSI",10,11,"Buf","WR","DeMarco Murray","FLEX",0,3,"Richmond Confederates"
"478","Richmond Confederates",3,"Marques Colston","BN",4,"+/- 1 PSI",10,11,"NO","WR","DeMarco Murray","FLEX",0,4,"Richmond Confederates"
"479","Richmond Confederates",3,"Ryan Mathews","BN",16,"+/- 1 PSI",10,11,"Phi","RB","DeMarco Murray","FLEX",0,16,"Richmond Confederates"
"494","+/- 1 PSI",1,"Tony Romo","BN",22,"What Would Jameis Do?",11,2,"Dal QB","QB","Drew Brees","QB",16,6,"+/- 1 PSI"
"510","+/- 1 PSI",2,"Allen Robinson","BN",27,"Down w/the Confederacaaaa!",11,8,"Jax","WR","Vincent Jackson","WR",11,16,"+/- 1 PSI"
"512","+/- 1 PSI",2,"Devonta Freeman","BN",11,"Down w/the Confederacaaaa!",11,8,"Atl","RB","Tre Mason","RB",2,9,"+/- 1 PSI"
"524","+/- 1 PSI",3,"Larry Donnell","BN",3,"Richmond Confederates",11,10,"NYG","TE","Tyler Eifert","TE",0,3,"+/- 1 PSI"
"526","+/- 1 PSI",3,"Allen Robinson","BN",6,"Richmond Confederates",11,10,"Jax","WR","Vincent Jackson","WR",4,2,"+/- 1 PSI"
"543","Tom Terrific",1,"Kyle Rudolph","BN",5,"FU Roadshow Winnebago",12,4,"Min","TE","Rueben Randle","FLEX",2,3,"Tom Terrific"
"544","Tom Terrific",1,"Doug Baldwin","BN",3,"FU Roadshow Winnebago",12,4,"Sea","WR","Rueben Randle","FLEX",2,1,"Tom Terrific"
"556","Tom Terrific",2,"Dexter McCluster, Ten WR","BN",11,"What Would Jameis Do?",12,2,"RB","RB","Rueben Randle","FLEX",0,11,"Tom Terrific"
"557","Tom Terrific",2,"Anquan Boldin","BN",12,"What Would Jameis Do?",12,2,"SF","WR","Mike Evans","WR",0,12,"Tom Terrific"
