"","team","ifW","ifL","ifT","pwrW","pwrL","pwrT","Str","Pct","PwrPct"
"3","Coffin Corner Gunners",107,45,2,270.615384615385,112.153846153846,2.23076923076923,19.7523985664169,0.701298701298701,0.705794205794206
"7","Screw you,  Goodell",91,57,6,234.538461538462,138.923076923077,11.5384615384615,13.5834159370035,0.61038961038961,0.624175824175824
"11","+/- 1 PSI",96,56,2,228,152,5,15.9797439458215,0.62987012987013,0.598701298701299
"5","Wilfork Island",81,73,0,222.923076923077,162.076923076923,0,12.2596914819214,0.525974025974026,0.579020979020979
"4","FU Roadshow Winnebago",84,68,2,216.230769230769,164.692307692308,4.07692307692308,6.90375644120257,0.551948051948052,0.566933066933067
"8","Down w/the Confederacaaaa!",79,70,5,189.307692307692,186.076923076923,9.61538461538461,0.5423533751698,0.529220779220779,0.504195804195804
"6","Boston Bobcatz",75,75,4,181.846153846154,197.307692307692,5.84615384615385,3.14298379325874,0.5,0.47992007992008
"9","A Gronking To Forget",71,80,3,177.615384615385,200.692307692308,6.69230769230769,-3.44465690827949,0.470779220779221,0.47002997002997
"2","What Would Jameis Do?",55,97,2,149.846153846154,232,3.15384615384615,-10.8247490661773,0.363636363636364,0.393306693306693
"10","Richmond Confederates",61,91,2,148.692307692308,232.692307692308,3.61538461538462,-14.0608708278862,0.402597402597403,0.390909090909091
"1","The Peasemakers",60,91,3,145.615384615385,232.923076923077,6.46153846153846,-11.1981998227564,0.399350649350649,0.386613386613387
"12","$1 All Stars",48,105,1,114.230769230769,267.923076923077,2.84615384615385,-21.3985258618623,0.314935064935065,0.3003996003996
