"","x","Tm","Pts"
"Ari",50,"50",50
"Atl",169,"169",169
"Bal",38,"38",38
"Buf",70,"70",70
"Car",71,"71",71
"Chi",144,"144",144
"Cin",137,"137",137
"Cle",39,"39",39
"Dal",97,"97",97
"Den",188,"188",188
"Det",119,"119",119
"GB",115,"115",115
"Hou",106,"106",106
"Ind",149,"149",149
"Jac",1,"1",1
"KC",28,"28",28
"Mia",26,"26",26
"Min",66,"66",66
"NE",165,"165",165
"NO",149,"149",149
"NYG",78,"78",78
"NYJ",54,"54",54
"Oak",27,"27",27
"Phi",214,"214",214
"Pit",99,"99",99
"SD",154,"154",154
"Sea",165,"165",165
"SF",119,"119",119
"StL",14,"14",14
"TB",35,"35",35
"Ten",20,"20",20
"Wsh",69,"69",69
